Asteroid Name,Aphelion Distance (AU),Eccentricity,Inclination (Degrees),Orbit ID,Orbit Uncertainty,Orbital Period,Perihelion Distance (AU),Aphelion Distance (miles),Perihelion Distance (miles)
(2001 CA21),2.953992923854813,0.7753789280052502,4.95654724000439,12,9,783.9,0.3737394010678554,274590796.9157306,34741247.73599974
(1998 UR),2.279001720517653,0.3795005324777705,17.39456326472516,14,9,775.6,1.025095185373722,211846444.70733365,95288550.48810656
(2002 CY9),2.486580179969097,0.5081871534167793,41.96799052037302,9,7,773.2,0.8108622817781476,231142067.9781337,75374357.98993559
(1994 VH8),2.3825061489780683,0.4476581539899516,3.4039222105145566,11,9,771.2,0.9090252701094322,221467782.4112047,84499177.81460279
(1999 LE6),2.18580451101659,0.3302728205749209,27.14235360478683,12,7,769.3,1.100445462987875,203183222.86256897,102292796.37197678
(1998 BR26),2.442028495815412,0.4889756094791248,12.246586351473892,13,7,767.2,0.8381172369540927,227000730.21225503,77907864.35050571
(2001 BB40),2.274186575710551,0.3866482196613914,16.73597714121066,11,8,767.2,1.005933852044211,211398849.03465295,93507393.28003433
(1993 BD3),2.2499747425959513,0.3754149624309116,0.8896105188295931,12,8,764.2,1.021728421981146,209148218.54192555,94975590.27905239
(2001 OF25),2.19881119173118,0.3507918714116025,20.37532899234105,12,7,758.6,1.0567772349794151,204392269.3683362,98233580.98526783
(1998 WY1),2.190292885714293,0.3568551955404495,24.65696003748272,11,8,749.1,1.038191469746905,203600443.35593778,96505926.1742929
(1996 VZ4),2.189423593389609,0.3625339507812559,24.282140641699357,13,9,744.0,1.024329123941548,203519637.58614054,95217340.6292581
(1997 VG6),2.5107027114553184,0.5630234561122184,18.483784556137373,12,9,743.6,0.7019204921660872,233384397.3659044,65247585.990778364
(2003 GD),2.191628325857088,0.3669599268782961,31.34990360669412,15,8,741.5,1.014944570339033,203724580.2724761,94344991.87323934
162038 (1996 DH),2.0257783962053706,0.2765906966720856,17.23118191295469,184,1,730.1,1.1479536409876392,188307866.17552614,106708957.41001548
(1999 TM12),2.3216777800870743,0.4630771993033642,28.587449187634764,11,9,730.1,0.8520136439779411,215813432.27584094,79199616.08360209
(1999 TO13),2.272826787823756,0.4358096615893589,20.24694982703312,23,8,727.4,0.8930897659175904,211272448.8539158,83017880.15814744
(2002 XV90),2.178127029746108,0.377270938199526,9.975201449251136,9,8,726.4,0.9848338217963232,202469556.3932478,91546022.93485665
(1999 TV16),2.2251966804316132,0.40992456880646994,1.104371330131835,11,7,724.2,0.9312795306543282,206844953.77077827,86567840.56881785
(2002 VZ91),2.183017111791774,0.3846317219661288,3.4861802837011737,8,8,723.1,0.9701926221177828,202924117.917434,90185038.39929236
(2000 SB45),2.187049479288497,0.3984982570663541,3.667304676140447,11,8,714.3,0.9406619329177592,203298949.8933134,87439989.34537534
(2003 GR22),2.520033561568253,0.6139034812794636,6.223638465870974,8,9,712.7,0.6028713590784656,234251754.07069585,56040393.8649251
(2002 CV11),2.15571441445207,0.3924685958635735,17.02773821661109,11,9,703.6,0.9405341054151244,200386173.64549074,87428107.03667623
(2001 QF96),2.105537500596831,0.3629198231973139,6.650770897593273,16,7,701.4,0.9842077136996172,195721938.1116079,91487822.55128717
(1999 FR19),2.2800708383796318,0.4766341869081271,20.81482032259572,11,9,700.8,0.8081291485836836,211945825.42126387,75120297.38745949
(2000 JX8),2.043394902211305,0.3317748474242678,5.9829563066978535,11,8,694.2,1.025284321102385,189945422.71263787,95306131.7524486
(2003 BN1),2.264856898835271,0.4842940077669821,60.90693259224879,11,9,688.5,0.7869062787882669,210531601.38911483,73147508.39297621
(2002 EW11),2.1681215923734016,0.4283007126427527,3.7977459099131035,12,8,683.1,0.8678239521216018,201539492.88514817,80669276.04033136
(1998 LE),2.568294538755357,0.6981101279422018,9.10960527549262,11,9,679.4,0.4565911815455508,238737892.1649082,42442801.87431145
(2001 ND13),2.16254119381497,0.43511012074333705,8.424566466867361,10,8,675.6,0.8512222276217755,201020762.4322439,79126049.33732563
(2003 AS42),2.018081801756884,0.3421286557102058,10.01519535217826,8,8,673.5,0.9892033689616984,187592423.02531397,91952197.71903166
